Archivo;Año;Mes Num;Mes;Concepto;Grupo;Importe;Total Recibo;Pagado;Deuda
7.pdf;2021;7;JULIO;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,57;99,29;99,29;0,00
7.pdf;2021;7;JULIO;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;99,29;99,29;0,00
8.pdf;2021;8;AGOSTO;ACS;L.ANT:517,03 L.ACT:519,96=2,93;13,19;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;ADMINISTRACION;ADMINISTRACION;2,66;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;COMISIONES BANCARIAS;PRESUPUESTO;0,25;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;CONSUMO AGUA CALDERA;GAS NATURAL,ACS Y CALEFACCION;1,38;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;CONSUMO DE AGUA;PRESUPUESTO;0,47;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,17;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,17;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;FONDO DE PROVISION AL 5%;FONDO DE PROVISIÓN AL 5%;2,17;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;9,11;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,50;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,59;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;OBRAS Y MEJORAS;PRESUPUESTO;1,26;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,57;85,43;85,43;0,00
8.pdf;2021;8;AGOSTO;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;85,43;85,43;0,00
9.pdf;2021;9;SEPTIEMBRE;CUOTACOMUNIDAD;;72,24;96,23;0,00;96,23
9.pdf;2021;9;SEPTIEMBRE;ACS-AGUA CALIENTE;;23,99;96,23;0,00;96,23
1.pdf;2022;1;ENERO;CUOTACOMUNIDAD;;72,24;127,47;127,47;0,00
1.pdf;2022;1;ENERO;ACS-AGUA CALIENTE;;34,65;127,47;127,47;0,00
1.pdf;2022;1;ENERO;CALEFACCION;;20,58;127,47;127,47;0,00
10.pdf;2022;10;OCTUBRE;ACS;L.ANT:587,29 L.ACT:588,22=0,93;18,68;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;ADMINISTRACION;ADMINISTRACION;2,95;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;COMISIONES BANCARIAS;PRESUPUESTO;1,70;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;CONSUMO DE AGUA;PRESUPUESTO;0,46;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,59;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,59;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;FONDO DE PROVISION AL 10%;FONDO DE PROVISIÓN AL 10%;5,08;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;13,96;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,89;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,85;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;OBRAS Y MEJORAS;PRESUPUESTO;1,26;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;TERMINO FIJO EXTRA SEPTIEMBRE TERMINO FIJO EXTRA SEPTIEMBRE;;18,97;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,42;119,34;119,34;0,00
10.pdf;2022;10;OCTUBRE;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;119,34;119,34;0,00
11.pdf;2022;11;NOVIEMBRE;ACS;L.ANT:588,22 L.ACT:592,00=3,78;37,77;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;ADMINISTRACION;ADMINISTRACION;2,95;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;COMISIONES BANCARIAS;PRESUPUESTO;1,70;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;CONSUMO DE AGUA;PRESUPUESTO;0,46;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,59;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,59;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;FONDO DE PROVISION AL 10%;FONDO DE PROVISIÓN AL 10%;5,08;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;13,96;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,89;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,85;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;OBRAS Y MEJORAS;PRESUPUESTO;1,26;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,42;119,46;119,46;0,00
11.pdf;2022;11;NOVIEMBRE;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;119,46;119,46;0,00
12.pdf;2022;12;DICIEMBRE;ACS;L.ANT:592,00 L.ACT:597,00=5,00;50,00;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;ADMINISTRACION;ADMINISTRACION;2,95;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;CALEF.;L.ANT:22512,00;9,00;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;COMISIONES BANCARIAS;PRESUPUESTO;1,70;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;CONSUMO DE AGUA;PRESUPUESTO;0,46;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,59;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,59;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;FONDO DE PROVISION AL 10%;FONDO DE PROVISIÓN AL 10%;5,08;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;13,96;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,89;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,85;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;OBRAS Y MEJORAS;PRESUPUESTO;1,26;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,42;140,69;140,69;0,00
12.pdf;2022;12;DICIEMBRE;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;140,69;140,69;0,00
2.pdf;2022;2;FEBRERO;ACS;L.ANT:545,93 L.ACT:553,72=7,79;35,06;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;ADMINISTRACION;ADMINISTRACION;2,95;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;CALEF.;L.ANT:21876,00;27,09;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;COMISIONES BANCARIAS;PRESUPUESTO;1,70;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;CONSUMO DE AGUA;PRESUPUESTO;0,46;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,59;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,59;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;FONDO DE PROVISION AL 10%;FONDO DE PROVISIÓN AL 10%;5,08;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;13,96;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,89;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,85;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;OBRAS Y MEJORAS;PRESUPUESTO;1,26;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;SEGURO COMUNITARIO;SEGURO COMUNITARIO;50,02;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,42;193,86;0,00;193,86
2.pdf;2022;2;FEBRERO;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;193,86;0,00;193,86
3.pdf;2022;3;MARZO;CONSUMOELECTRICOPORTALES;;7,59;117,54;0,00;117,54
3.pdf;2022;3;MARZO;TERMINOFIJOGASNATURAL;;5,42;117,54;0,00;117,54
3.pdf;2022;3;MARZO;ACS-AGUA CALIENTE;;21,85;117,54;0,00;117,54
4.pdf;2022;4;ABRIL;CUOTACOMUNIDAD;;81,69;125,03;0,00;125,03
4.pdf;2022;4;ABRIL;ACS-AGUA CALIENTE;;32,44;125,03;0,00;125,03
4.pdf;2022;4;ABRIL;CALEFACCION;;10,90;125,03;0,00;125,03
5.pdf;2022;5;MAYO;CUOTACOMUNIDAD;;81,69;171,97;0,00;171,97
5.pdf;2022;5;MAYO;ACS-AGUA CALIENTE;;90,28;171,97;0,00;171,97
6.pdf;2022;6;JUNIO;ACS;L.ANT:569,09 L.ACT:574,93=5,84;67,19;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;ADMINISTRACION;ADMINISTRACION;2,95;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;COMISIONES BANCARIAS;PRESUPUESTO;1,70;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;CONSUMO DE AGUA;PRESUPUESTO;0,46;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,59;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,59;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;FONDO DE PROVISION AL 10%;FONDO DE PROVISIÓN AL 10%;5,08;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;13,96;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,89;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,85;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;OBRAS Y MEJORAS;PRESUPUESTO;1,26;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;TERMINO FIJO EXTRA MAYO;TERMINO FIJO EXTRA MAYO;16,44;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,42;165,32;165,32;0,00
6.pdf;2022;6;JUNIO;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;165,32;165,32;0,00
6_derrama.pdf;2022;6;JUNIO;DERRAMA LIMPOIEZA FACHADAS;DERRAMA LIMPIEZA FACHADAS;112,71;147,06;147,06;0,00
6_derrama.pdf;2022;6;JUNIO;DERRAMA PINTURA VIVIENDA;DERRAMA PINTURA VIVIENDA;34,35;147,06;147,06;0,00
7.pdf;2022;7;JULIO;ACS;L.ANT:574,93 L.ACT:579,04=4,11;40,56;142,35;142,35;0,00
7.pdf;2022;7;JULIO;ADMINISTRACION;ADMINISTRACION;2,95;142,35;142,35;0,00
7.pdf;2022;7;JULIO;COMISIONES BANCARIAS;PRESUPUESTO;1,70;142,35;142,35;0,00
7.pdf;2022;7;JULIO;CONSUMO DE AGUA;PRESUPUESTO;0,46;142,35;142,35;0,00
7.pdf;2022;7;JULIO;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,59;142,35;142,35;0,00
7.pdf;2022;7;JULIO;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,59;142,35;142,35;0,00
7.pdf;2022;7;JULIO;FONDO DE PROVISION AL 10%;FONDO DE PROVISIÓN AL 10%;5,08;142,35;142,35;0,00
7.pdf;2022;7;JULIO;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;13,96;142,35;142,35;0,00
7.pdf;2022;7;JULIO;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,89;142,35;142,35;0,00
7.pdf;2022;7;JULIO;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;142,35;142,35;0,00
7.pdf;2022;7;JULIO;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,85;142,35;142,35;0,00
7.pdf;2022;7;JULIO;OBRAS Y MEJORAS;PRESUPUESTO;1,26;142,35;142,35;0,00
7.pdf;2022;7;JULIO;TERMINO FIJO EXTRA JUNIO;TERMINO FIJO EXTRA JUNIO;20,10;142,35;142,35;0,00
7.pdf;2022;7;JULIO;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,42;142,35;142,35;0,00
7.pdf;2022;7;JULIO;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;142,35;142,35;0,00
7_derrama.pdf;2022;7;JULIO;DERRAMA VIDEOPORTEROS;DERRAMA VIDEOPORTEROS;209,87;209,87;209,87;0,00
8.pdf;2022;8;AGOSTO;ACS;L.ANT:579,04 L.ACT:583,97=4,93;37,51;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;ADMINISTRACION;ADMINISTRACION;2,95;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;COMISIONES BANCARIAS;PRESUPUESTO;1,70;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;CONSUMO DE AGUA;PRESUPUESTO;0,46;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,59;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,59;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;FONDO DE PROVISION AL 10%;FONDO DE PROVISIÓN AL 10%;5,08;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;13,96;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,89;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,85;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;OBRAS Y MEJORAS;PRESUPUESTO;1,26;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;TERMINO FIJO EXTRA JULIO;TERMINO FIJO EXTRA JULIO;17,61;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,42;136,81;136,81;0,00
8.pdf;2022;8;AGOSTO;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;136,81;136,81;0,00
9.pdf;2022;9;SEPTIEMBRE;ACS;L.ANT:583,97 L.ACT:587,29=3,32;56,44;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;ADMINISTRACION;ADMINISTRACION;2,95;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;COMISIONES BANCARIAS;PRESUPUESTO;1,70;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;CONSUMO DE AGUA;PRESUPUESTO;0,46;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,59;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,59;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;FONDO DE PROVISION AL 10%;FONDO DE PROVISIÓN AL 10%;5,08;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;13,96;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,89;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,85;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;OBRAS Y MEJORAS;PRESUPUESTO;1,26;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;TERMINO FIJO EXTRA AGOSTO;TERMINO FIJO EXTRA AGOSTO;31,36;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,42;169,49;169,49;0,00
9.pdf;2022;9;SEPTIEMBRE;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;169,49;169,49;0,00
1.pdf;2023;1;ENERO;ACS;L.ANT:597,00 L.ACT:602,00=5,00;50,00;179,99;179,99;0,00
1.pdf;2023;1;ENERO;ADMINISTRACION;ADMINISTRACION;2,95;179,99;179,99;0,00
1.pdf;2023;1;ENERO;CALEF.;L.ANT:22542,00;48,30;179,99;179,99;0,00
1.pdf;2023;1;ENERO;COMISIONES BANCARIAS;PRESUPUESTO;1,70;179,99;179,99;0,00
1.pdf;2023;1;ENERO;CONSUMO DE AGUA;PRESUPUESTO;0,46;179,99;179,99;0,00
1.pdf;2023;1;ENERO;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,59;179,99;179,99;0,00
1.pdf;2023;1;ENERO;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,59;179,99;179,99;0,00
1.pdf;2023;1;ENERO;FONDO DE PROVISION AL 10%;FONDO DE PROVISIÓN AL 10%;5,08;179,99;179,99;0,00
1.pdf;2023;1;ENERO;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;13,96;179,99;179,99;0,00
1.pdf;2023;1;ENERO;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,89;179,99;179,99;0,00
1.pdf;2023;1;ENERO;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;179,99;179,99;0,00
1.pdf;2023;1;ENERO;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,85;179,99;179,99;0,00
1.pdf;2023;1;ENERO;OBRAS Y MEJORAS;PRESUPUESTO;1,26;179,99;179,99;0,00
1.pdf;2023;1;ENERO;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,42;179,99;179,99;0,00
1.pdf;2023;1;ENERO;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;179,99;179,99;0,00
10.pdf;2023;10;OCTUBRE;ACS-Agua Caliente;L.ANT:632,00 L.ACT:636,00=4,00;18,00;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;ADMINISTRACION;ADMINISTRACION;3,32;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;COMISIONES BANCARIAS;PRESUPUESTO;2,02;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;CONSUMO DE AGUA;PRESUPUESTO;0,46;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;8,85;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;8,85;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;FONDO DE PROVISION AL 10%;FONDO DE PROVISIÓN AL 10%;5,72;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;LIMPIEZA DE LA COMUNIDAD+ CONSUMIBLES;PRESUPUESTO;13,96;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;MANTENIMIENTO ASCENSORES;PRESUPUESTO;21,27;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,37;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;2,64;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;MANTENIMIENTO PORTALON;PRESUPUESTO;0,77;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;OBRAS Y MEJORAS;PRESUPUESTO;1,26;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;SEGURO COMUNITARIO;SEGURO COMUNITARIO;4,61;112,16;112,16;0,00
10.pdf;2023;10;OCTUBRE;TERMINO FIJO;GAS NATURAL,ACS Y CALEFACCION;12,06;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;ACS-Agua Caliente;L.ANT:636,00 L.ACT:640,00=4,00;18,00;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;ADMINISTRACION;ADMINISTRACION;3,32;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;COMISIONES BANCARIAS;PRESUPUESTO;2,02;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;CONSUMO DE AGUA;PRESUPUESTO;0,46;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;8,85;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;8,85;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;FONDO DE PROVISION AL 10%;FONDO DE PROVISIÓN AL 10%;5,72;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;LIMPIEZA DE LA COMUNIDAD+ CONSUMIBLES;PRESUPUESTO;13,96;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;MANTENIMIENTO ASCENSORES;PRESUPUESTO;21,27;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,37;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;2,64;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;MANTENIMIENTO PORTALON;PRESUPUESTO;0,77;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;OBRAS Y MEJORAS;PRESUPUESTO;1,26;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;SEGURO COMUNITARIO;SEGURO COMUNITARIO;4,61;112,16;112,16;0,00
11.pdf;2023;11;NOVIEMBRE;TERMINO FIJO;GAS NATURAL,ACS Y CALEFACCION;12,06;112,16;112,16;0,00
12.pdf;2023;12;DICIEMBRE;ACS-Agua Caliente;L.ANT:640,00 L.ACT:644,00=4,00;18,00;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;ADMINISTRACION;ADMINISTRACION;3,32;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;CALEF.;L.ANT:23317,00;7,44;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;COMISIONES BANCARIAS;PRESUPUESTO;2,02;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;CONSUMO DE AGUA;PRESUPUESTO;0,46;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;8,85;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;8,85;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;FONDO DE PROVISION AL 10%;FONDO DE PROVISIÓN AL 10%;5,72;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;LIMPIEZA DE LA COMUNIDAD+ CONSUMIBLES;PRESUPUESTO;13,96;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;MANTENIMIENTO ASCENSORES;PRESUPUESTO;21,27;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,37;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;2,64;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;MANTENIMIENTO PORTALON;PRESUPUESTO;0,77;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;OBRAS Y MEJORAS;PRESUPUESTO;1,26;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;SEGURO COMUNITARIO;SEGURO COMUNITARIO;4,61;119,60;119,60;0,00
12.pdf;2023;12;DICIEMBRE;TERMINO FIJO;GAS NATURAL,ACS Y CALEFACCION;12,06;119,60;119,60;0,00
2-derrama.pdf;2023;2;FEBRERO;DERRAMA FONDO FONDO;SEGURO COMUNITARIO+ DERRAMA;94,53;149,83;149,83;0,00
