Archivo;Año;Mes Num;Mes;Concepto;Grupo;Importe;Total Recibo;Pagado;Deuda
11.pdf;2020;11;NOVIMEBRE;COMISIONES BANCARIAS;PRESUPUESTO;0,25;92,71;92,71;0,00
11.pdf;2020;11;NOVIMEBRE;CONSUMO AGUA CALDERA;GAS NATURAL,ACS Y CALEFACCION;1,38;92,71;92,71;0,00
11.pdf;2020;11;NOVIMEBRE;CONSUMO DE AGUA;PRESUPUESTO;0,47;92,71;92,71;0,00
11.pdf;2020;11;NOVIMEBRE;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,17;92,71;92,71;0,00
11.pdf;2020;11;NOVIMEBRE;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,17;92,71;92,71;0,00
11.pdf;2020;11;NOVIMEBRE;FONDO DE PROVISION AL 5%;FONDO DE PROVISIÓN AL 5%;2,17;92,71;92,71;0,00
11.pdf;2020;11;NOVIMEBRE;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;9,11;92,71;92,71;0,00
11.pdf;2020;11;NOVIMEBRE;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,50;92,71;92,71;0,00
11.pdf;2020;11;NOVIMEBRE;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;92,71;92,71;0,00
11.pdf;2020;11;NOVIMEBRE;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,59;92,71;92,71;0,00
11.pdf;2020;11;NOVIMEBRE;OBRAS Y MEJORAS;PRESUPUESTO;1,26;92,71;92,71;0,00
11.pdf;2020;11;NOVIMEBRE;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,57;92,71;92,71;0,00
11.pdf;2020;11;NOVIMEBRE;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;92,71;92,71;0,00
12.pdf;2020;12;DICIEMBRE;CUOTACOMUNIDAD;;72,24;111,33;111,33;0,00
12.pdf;2020;12;DICIEMBRE;ACS-AGUA CALIENTE;;32,09;111,33;111,33;0,00
12.pdf;2020;12;DICIEMBRE;CALEFACCION;;7,00;111,33;111,33;0,00
2.pdf;2020;2;FEBRERO;CUOTACOMUNIDAD;;72,24;115,37;115,37;0,00
2.pdf;2020;2;FEBRERO;ACS-AGUA CALIENTE;;19,89;115,37;115,37;0,00
2.pdf;2020;2;FEBRERO;CALEFACCION;;23,24;115,37;115,37;0,00
3.pdf;2020;3;MARZO;CUOTACOMUNIDAD;;72,24;118,52;118,52;0,00
3.pdf;2020;3;MARZO;ACS-AGUA CALIENTE;;28,85;118,52;118,52;0,00
3.pdf;2020;3;MARZO;CALEFACCION;;17,43;118,52;118,52;0,00
4.pdf;2020;4;ABRIL;CUOTACOMUNIDAD;;72,24;94,03;94,03;0,00
4.pdf;2020;4;ABRIL;ACS-AGUA CALIENTE;;17,87;94,03;94,03;0,00
4.pdf;2020;4;ABRIL;CALEFACCION;;3,92;94,03;94,03;0,00
5.pdf;2020;5;MAYO;CUOTACOMUNIDAD;;72,24;98,11;98,11;0,00
5.pdf;2020;5;MAYO;ACS-AGUA CALIENTE;;25,52;98,11;98,11;0,00
5.pdf;2020;5;MAYO;CALEFACCION;;0,35;98,11;98,11;0,00
6.pdf;2020;6;JUNIO;CUOTACOMUNIDAD;;72,24;93,20;93,20;0,00
6.pdf;2020;6;JUNIO;ACS-AGUA CALIENTE;;20,75;93,20;93,20;0,00
6.pdf;2020;6;JUNIO;CALEFACCION;;0,21;93,20;93,20;0,00
