,,,,,,,
,,Compras Online 2023,,,,,
,,Producto,Fecha,Tienda,Estado,Precio,Precio sin oferta
,,Ikea pedido 1332484005 ,08/01/2023,Ikea,Recibido,"57,92 €",
,,"Soporte de montaje para ordenador de bicicleta, cronómetro, velocímetro, para Canyon (Nano)",18/01/2023,aliexpress,Recibido,"0,00 €",
,,CD Cowboy Tears Oliver Tree (Antia),18/01/2023,amazon,Recibido,"19,80 €",
,,Gold Rush Kid George Ezra,18/01/2023,amazon,Recibido,"12,99 €",
,,miaX Rasqueta Profesional vitrocerámica ,25/01/2023,amazon,Recibido,"9,95 €",
,,Cierre armario+soporte movil+luz ritmo,08/02/2023,aliexpress,Recibido,"5,94 €",
,,Scottex Original Papel Higiénico - 96 Rollos,27/01/2023,amazon,Recibido,"29,10 €",
,,Pienso perro,23/02/2023,zooplus,Recibido,"52,19 €","60,00 €"
,,"Adidas Duramo SL 2.0 Zapatillas para hombre y mujer,",25/02/2023,miravia,Recibido,"22,09 €","44,99 €"
,,"Candy MIC201EX, Microondas Integrable con Grill, 20L, 1250W",01/03/2023,amazon,Recibido,"161,99 €",
,,"SOBRE OPOSICIONES: Cómo aprobar: orientación, preparación mental, motivación, organización, planificación, estrategias de estudio y reglas mnemotécnicas para estudiantes (Libros de Emilio Cabrera)",06/03/2023,amazon,Recibido,"18,95 €",
,, Camiseta Roly 100% algodon,07/03/2023,miravia,Recibido,"9,96 €",
,,"Dixan Total 3+1 Detergente en Cápsulas para Lavadora (60 lavados), jabón para ropa blanca y clara, limpieza, luminosidad y frescor en un detergente",17/03/2023,amazon,Recibido,"17,95 €",
,,Cerveza 1906 Reserva Especial - Paquete de 24 latas de 330 ml - ,17/03/2023,amazon,Recibido,"20,16 €",
,,"Dixan Total 3+1 Detergente en Cápsulas para Lavadora (60 lavados), jabón para ropa blanca y clara, limpieza, luminosidad y frescor en un detergente",17/03/2023,amazon,Recibido,"17,95 €",
,,"StarTech.com Cable SATA a USB - Adaptador de Disco Rígido USB 3.0 a SATA III de 2.5"" - Conversor Externo para Disco Duro o SSD para Transferencia de",23/03/2023,amazon,Recibido,"13,42 €",
,," DISCO DURO INTERNO SOLIDO HDD SSD KINGSTON SSDNOW A400 240GB 2.5"" SATA 6GB/S",23/03/2023,miravia,Recibido,"9,79 €","17,69 €"
,,"Gamo Match Balines, Unisex Adulto, Gris, 4.5
",12/04/2023,amazon,Recibido,"12,00 €",
,,Fortalecedor de agarre de mano verde y rojo,30/04/2023,miravia,Recibido,"3,07 €",
,,"6 Herbal Essences Champú Reparador Con Aceite De Argán, Para Pelo Seco Y Dañado, 6x250m",30/04/2023,amazon,Recibido,"12,99 €",
,,"COODIO Volante Switch, Volante de Carreras Joy-Con, Steering Wheel para Mario Kart 8 Deluxe / Nintendo Switch & Versió",07/05/2023,amazon,Recibido,"4,99 €",
,, Xiaomi Mi Smart Standing Fan 2 Lite Ventilador de Pie 38W WiFi - 3 Velocidades - Compatible con Asistentes de Voz,10/05/2023,miravia,Recibido,"29,80 €","45,74 €"
,,Scottex Original Papel Higiénico - 96 Rollos,10/05/2023,amazon,Recibido,"27,89 €","30,99 €"
,,"ZIPYRAN PLUS SABOR, ANTIPARASITARIO INTERNO (6 unidades)",15/05/2023,latiendadeconmiperro,Recibido,"29,30 €",
,,"Cerveza 1906 Reserva Especial - Paquete de 24 latas de 330 ml - Bebida alcohólica 6,5% de volumen en alcohol - Cerveza en lata Para una Inmensa Minor",02/06/2023,amazon,Recibido,"17,58 €",
,,"Cerveza 1906 Reserva Especial - Paquete de 24 latas de 330 ml - Bebida alcohólica 6,5% de volumen en alcohol - Cerveza en lata Para una Inmensa Minor",02/06/2023,amazon,Recibido,"17,58 €",
,,Amazon Basics - Bolsas para excrementos de perro con dispensador y clip para correa (300 bolsas,12/06/2023,amazon,Recibido,"9,97 €",
,,"BIC Flex4 maquinillas de afeitar desechables para hombre, para un afeitado apurado y rápido, Blíster de 3+1 cuchillas de afeitar, Estándar",12/06/2023,amazon,Recibido,"4,35 €",
,,"Dixan Total 3+1 Detergente en Cápsulas para Lavadora (60 lavados), jabón para ropa blanca y clara, limpieza, luminosidad y frescor en un detergente",12/06/2023,amazon,Recibido,"18,95 €",
,,"Alfombra de terciopelo con relieve de espuma viscoelástica, alfombrilla antideslizante 40x60",16/06/2023,aliexpress,Recibido,"3,23 €",
,,"Mini GF 07 GPS rastreador de coche, localizador antirrobo en tiempo Real, montaje magn",16/06/2023,aliexpress,Recibido,"4,68 €",
,,"2 Cabezal de ducha de aumento de presión de 5 modos, boquilla de ducha multifunción",16/06/2023,aliexpress,Recibido,"3,27 €",
,,"Jack & Jones JacLee Trunks 5 Pack Calzoncillos Boxer Hombre, Azul (Estate Blue), L (Pack de 5)",25/06/2023,amazon,Recibido,"21,09 €","39,99 €"
,,"Vancle Correa para Amazfit Bip/Bip Lite/Bip S/Bip S Lite/Bip U/Bip U Pro/Bip 3/Bip 3 Pro, Pulseras de Repuesto Silicona de Ajustable 20mm para Amazfit GTS 2 Mini/GTS 2/GTS 2e/GTS 3/ GTS 4/GTS 4 Min",23/06/2023,amazon,Recibido,"5,94 €",
,,"NIVEA SUN Protege & Broncea Spray Solar FP50 (1 x 270 ml), activador del bronceado, crema bronceadora, protección solar, protector solar hidratante resistente al agua, pistola",25/06/2023,amazon,Recibido,"11,90 €","14,94 €"
,,Pedido zooplus,01/07/2023,zooplus,Recibido,"56,67 €",
,,"Funda de tela para Kindle, negro antracita",06/07/2023,amazon,Recibido,"1,36 €",
,,"Auriculares Inalambricos Deportivos, Auriculares Bluetooth 5.3 con Microfono Estéreo Reducción de Ruido, 48H Auricular In-Ear Cascos Inalambricos Bluetooth IP7 Impermeables Deporte, Carga Rápida USB-C",11/07/2023,amazon,Recibido,"15,99 €","29,99 €"
,, GILDAN® + AMERICAN APPAREL® : PACK X 10 Camisetas Lisas 100% Algodón De 155gms a 185gms ♦ Tallas Amplias S M L XL XXL 2XL Colores Surtidos Cuello Redondo o En V Aleatoriamente ♦♦,21/07/2023,miravia,Recibido,"11,83 €",
,,PDL - Pasta de Dientes Lacer Duplo 2 x 125 ml,24/07/2023,amazon,Recibido,"9,30 €",
,,Volvone Light - Amoniaco Perfumado - 750 ml,24/07/2023,amazon,Recibido,"1,50 €",
,,"ANTELA Bombilla Inteligente LED E27 Wifi 9W Compatible Con Google Home/Alexa, Bombilla RGB(2700K-6500K) Luces Colores Regulable, Control Remoto,Contro",11/08/2023,amazon,Recibido,"15,29 €",
,,"Echo Pop | Altavoz inteligente wifi y Bluetooth con Alexa, de sonido potente y compacto | Antracita",11/08/2023,amazon,Recibido,"29,99 €",
,,Impermeable+soporte cortador cebollas+colgadores+rinoñera ,21/07/2023,miravia,Recibido,"7,96 €",
,,Vinilo volley,29/08/2023,ambiance-sticker,Recibido,"39,83 €",
,,"Under Armour Ua Performance Wristband, Pack De 2 Muñequeras Para Hombre, Accesorios Entrenamiento Blanco, Talla Única",03/09/2023,amazon,Recibido,"4,95 €",
,,Scottex Original Papel Higiénico - 96 Rollos,03/09/2023,amazon,Recibido,"26,66 €",
,,2 Tulipán Negro - Desodorantes en crema ,13/09/2023,miravia,Recibido,"4,50 €",
,, ROLLO CUERDA TENDER BLANCA -10 METROS ,13/09/2023,miravia,Recibido,"0,85 €",
,,Volvone Light - Amoniaco Perfumado - 750 ml,10/10/2023,amazon,Recibido,"1,80 €",
,,BIC RAZORS Flex4 Maquinillas Desechables Para Hombre Color Negro - Pack de 2,10/10/2023,amazon,Recibido,"7,26 €",
,,Correa de silicona para reloj Amazfit ,10/10/2023,aliexpress,Recibido,"3,61 €",
,,Huevo de bolsillo 2,10/10/2023,aliexpress,Recibido,"4,52 €",
,,"Eglo 94845, Lámpara de exterior, aluminio, acero, integrada, 8W, plateada 10 x 3 x 10.5 cm",23/10/2023,amazon,Recibido,"11,92 €",
,,"1906 Reserva Especial - Cerveza Lager Extra, Pack de 24 Latas x 33 cl,",23/10/2023,amazon,Recibido,"18,89 €",
,,Pedido zooplus,14/11/2023,zooplus,Recibido,"48,73 €",
,,"Dos chandal, cubrecable, luz led, filtros sumidero, chubasquero, alfrombrilla baño, colgadores, afeitadora electrica",25/11/2023,aliexpress,Recibido,"24,69 €",
,,Luces led,28/11/2023,Temu,No llegó,"10,44 €",
,,Volvone - Amoniaco Perfumado - 750 ml,10/12/2023,amazon,Recibido,"1,80 €",
,,,,,,,
,,TOTAL,,,,"1.079,07€",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,," 
",,,,,
