,,,,,,,
,,Compras Online 2021,,,,,
,,Producto,Fecha,Tienda,Estado,Precio,Precio sin oferta
,,LIFETIME 4428 - Mesa plegable multiusos ,05/01/2021,amazon,Recibido,"49,95 €",
,,Altavoces de ordenador con cable USB 2,11/01/2021,aliexpress,Recibido,"8,19 €",
,,AVM FRITZ!Box 4020 International - Router WiFi N 450 ,16/01/2021,amazon,Recibido,"16,82 €","49,95 €"
,,NUOLUX 12pcs Adhesivo de Acero Inoxidable Toalla Ganchos,27/01/2021,amazon,Recibido,"2,99 €",
,, Guante quitapelos para mascotas,22/01/2021,aliexpress,Recibido,"2,99 €",
,,Pequeña historia del Mundo (ESPASA JUVENIL),30/01/2021,amazon,Recibido,"3,89 €","9,40 €"
,,"Mascarilla protectora FFP2 de 5 capas para adultos, máscara facial antipolvo con filtro FFP2 (50 unidades)",30/01/2021,aliexpress,Recibido,"18,61 €",
,,Criptomoneda Dogecoin,07/02/2021,Binance,Recibido,"50,00 €",
,,2 paquetes Scottex Original Papel Higiénico - 96 Rollos,19/02/2021,amazon,Recibido,"32,29 €","49,80 €"
,,"2 Gosund Enchufe Inteligente Wifi, Monitor de Energía",03/03/2021,amazon,Recibido,12.18,"23,99 €"
,,Pedido zooplus 196418202,08/03/2021,zooplus,Recibido,"49,47 €",
,,"Xiaomi Mi Bluetooth Audio receiver, 3,5mm",09/03/2021,aliexpress,Recibido,"5,93 €",
,,bakibo Auriculares Inalámbricos Bluetooth 5.1,18/03/2021,amazon,Recibido,"20,99 €","25,99 €"
,,Criptomoneda ADA,20/03/2021,Binance,Recibido,"20,00 €",
,,2 -Tabla de cortar (madera) TOPICO 56-0308300 WOODEN EDGE,22/03/2021,amazon,Recibido,"3,10 €",
,,Oral-B Oxyjet,25/03/2021,amazon,Recibido,"51,99 €","99,95 €"
,,Olla eléctrica Russell Hobbs Compact Home Slow Cooker 25570-56 con capacidad de 2 litros,29/03/2021,elcorteingles,Recibido,"18,79 €","49,39 €"
,,"Wipp Express Detergente Líquido Azul 30 Lavados - Pack de 4, Total: 120 Lavados",30/03/2021,amazon,Recibido,"18,79 €","30,00 €"
,,"Tira de luces LED de 220V, 120LED, 8W/m, con enchufe europeo e interruptor, Flexible, no deslumbrante, impermeable, cinta LED para uso en exteriores",09/04/2021,aliexpress,Recibido,"14,23 €",
,,"2 - Lámparas de pared con interruptor, accesorio de pared, de mesita de noche, candelabro moderno",17/04/2021,aliexpress,Recibido,"20,20 €",
,,Tarjeta regalo Amazon,17/04/2021,amazon,Recibido,"40,00 €",
,,"Tiras LED Compatible con Alexa/Google Home, SHOPLED 5M ",30/04/2021,amazon,Recibido,"11,49 €","22,99 €"
,,3x2 Lámpara - Xiaomi Mi Motion-Activated Night Light 2,11/05/2021,mediamark,Recibido,"16,17 €","24,27 €"
,,TECKIN Bombilla LED Inteligente WiFi Luces Cálidas RGB 2800k-6200k Ajustable y Lámpara E27,15/05/2021,amazon,Recibido,"9,99 €","20,99 €"
,,"WIFI Tiras LED Alexa Inteligente, TASMOR Luces LED RGB 5M Música Funciona con Alexa, Google",25/05/2021,amazon,Recibido,"21,49 €",
,,"Garnier Delial Sensitive Advanced - Bruma Seca Protector Solar para Pieles Claras, Sensibles e Intolerantes al Sol IP50+ - 200 ml",10/06/2021,amazon,Recibido,"7,95 €","9,90 €"
,,Echo show 5,22/06/2021,amazon,Recibido,"39,99 €","64,99 €"
,,"Homematic IP, Blanco",09/07/2021,amazon,Recibido,"4,38 €","36,29 €"
,,ONETWOFIT Estación de Dominadas para Gimnasio en Casa,12/07/2021,amazon,Recibido,"59,99 €","139,99 €"
,,Bracwiser Full Motion Free Standing para Pantallas de 13 a 27 Pulgadas,16/07/2021,amazon,Recibido,"19,99 €","40,99 €"
,,"Scottex Megarollo Papel Higiénico, 48 Megarollos (equivale a 96 rollos estándar)",19/07/2021,amazon,Recibido,"15,73 €","26,79 €"
,,10 Gamuzas. Paño reutilizable para gafas,10/08/2021,aliexpress,Recibido,"10,04 €",
,,Pedido zooplus 212500004,10/08/2021,zooplus,Recibido,"52,68 €",
,,E-NUC Adaptador Audio Microfono+Auricular MiniJack 3.5,17/08/2021,amazon,Recibido,"3,15 €",
,,3 Candado De Combinación Diyife,03/09/2010,amazon,Recibido,"13,99 €",
,,Aqara del Sensor,06/09/2021,aliexpress,Recibido,"13,58 €",
,,Downloader sistema RF ICSH015A depurador de CC y programador (Debugger Zigbee),06/09/2021,aliexpress,Recibido,"8,92 €",
