,,,,,,,
,,Compras Online 2019,,,,,
,,Producto,Fecha,Tienda,Estado,Precio,Precio sin oferta
,,Telescopio Enkeeo 20-60x60AE,27/02/2019,amazon,Recibido,"24,99 €",
,,Libro Inteligencia artificial,01/03/2018,amazon,Recibido,"14,20 €",
,,Lampara lectura pinza ,01/03/2018,amazon,Recibido,"18,99 €",
,,Mochila plegable ,01/03/2018,amazon,Recibido,"4,99 €",
,,Cortadora de fiambre,02/03/2019,ebay,Recibido,"15,99 €",
,,Arnes perro ,14/03/2019,aliexpress,Recibido,"3,80 €",
,,Mecanismo reloj ,14/03/2019,aliexpress,Recibido,"0,80 €",
,,Sticker vinilo suelo ,14/03/2019,aliexpress,Recibido,"5,71 €",
,,"Enchufe Inteligente, Houzetek ",14/03/2019,amazon,Recibido,"10,94 €",
,,Juegos de lógica 9-11 años ,16/03/2019,amazon,Recibido,"6,55 €",
,,Perchero 16 ganchos ,16/03/2019,amazon,Recibido,"19,99 €",
,,Xiaomi Mijia 1.6L eléctrica olla de arroz ,28/03/2019,aliexpress,Recibido,"58,80 €",
,,Pedido perro,30/03/2019,zooplus,Recibido,"51,29 €",
,,(REGALO) 2 x Xiaomi miband 3 ,06/04/2019,banggood ,Recibido,"40,40 €",
,,Pantalon corto ,09/04/2019,aliexpress,Recibido,"6,68 €",
,,Jintes Perseguidor de GPS Remoto Anti-perdido ,17/04/2019,amazon,Recibido,"2,80 €",
,,Cepillo de dientes Xiaomi,25/04/2019,banggood ,Recibido,"12,94 €",
,,Corrector postural espalda,21/05/2019,aliexpress,Recibido,"3,52 €",
,,Unisex Turbante Cap Sedoso Durag,01/06/2019,amazon,Recibido,"2,21 €",
,,2 Spandex King's Durag motociclista cabeza Wrap skulcap Bandanna,01/06/2019,aliexpress,Recibido,"5,08 €",
,,Disco SSD Crucial BX500,15/06/2019,amazon,Recibido,"30,50 €",
,," SALCAR Carcasa USB 3.0 para Discos Duros 2.5""",24/06/2019,amazon,Recibido,"9,99 €",
,,"AmazonBasics Silla de Oficina ejecutiva,",20/06/2019,amazon,Recibido,"35,99 €",
,,Scottex Original Papel Higiénico - 96 Rollos,15/07/2019,amazon,Recibido,"12,83 €","24,44 €"
,,"Nike MD Runner 2,",16/07/2019,amazon,Recibido,"29,14 €",
,,Green Maker Bolsas de Compost para Perros 360 Bolsas,29/07/2019,amazon,Recibido,"11,99 €",
,,ZANZEA chaleco térmico USB eléctrico (2),23/07/2019,aliexpress,Recibido,"13,34 €","91,41 €"
,,Arquivet Soft Snacks huesitos Cordero 800 grs - 855 gr,29/07/2019,amazon,Recibido,"7,43 €",
,,Xiaomi mi band 4 Saloa,29/07/2019,aliexpress,Recibido,"29,16 €",
,,Xiaomi mi band 4 Lucia,01/08/2019,aliexpress plaza,Recibido,"28,47 €",
,,Dron Acme Made zoopa Q600 Mantis ,01/08/2019,amazon,Recibido,"14,90 €","19,95 €"
,,2 x Sikena Bolsa de cintura de teléfono antirrobo impermeable,03/07/2019,amazon,Recibido,"7,20 €","29,76 €"
,,Raspberry Pi 3 B+,17/08/2019,aliexpress,No llegó,"24,01 €",
,,carcasa y ventilador de Raspberry ,17/08/2019,aliexpress,No llegó,"3,90 €",
,,SanDisk A1 Memory Card,18/08/2019,aliexpress,Recibido,"3,92 €",
,,Soporte ducha,17/08/2019,aliexpress,Recibido,"3,31 €",
,,Pendrive 64GB ,26/08/2019,aliexpress,Recibido,"2,17 €",
,,ALTAVOZ PORTATIL TROLLEY 600W ,27/08/2019,aliexpress,No llegó,"44,98 €",
,,Tubo ducha ,27/08/2019,aliexpress,Recibido,"5,73 €",
,,Cabezal de ducha giratorio 360,27/08/2019,aliexpress,Recibido,"12,27 €",
,,Ventosa fregadero,27/08/2019,aliexpress,Recibido,"0,69 €",
,,Colcha de 90 + bragas-cullote,28/08/2019,venca,Recibido,"6,94 €","19,94 €"
,,Pedido perro,29/08/2019,zooplus,Recibido,"52,36 €",
,,Mini Cámara Portátil Cámara de Video HD de Visión Nocturna,30/08/2019,Amazon,Recibido,"4,40 €","21,99 €"
,,"Schwarzkopf Gliss Champú Ultimate Repair, para Cabellos Muy Dañados - 6 x 250 ml",04/09/2019,Amazon,Recibido,"8,36 €","16,20 €"
,,Scottex Original Papel Higiénico - 96 Rollos,04/09/2019,amazon,Recibido,"19,44 €","24,44 €"
,,DON ALGODÓN Blanca Juego de Sábanas,12/10/2019,Amazon,Recibido,"34,90 €",
