,,,,,,,
,,Compras Online 2020,,,,,
,,Producto,Fecha,Tienda,Estado,Precio,Precio sin oferta
,,Ganchos autoadhesivos impermeables paquete 10,27/10/2020,aliexpress,No llegó,"2,70 €",
,,Estimulator,31/10/2020,aliexpress,Recibido,"7,67 €",
,,"MASCARILLA HIGIÉNICA INFANTIL 'MOXADTECH', ",06/11/2020,zippyonline,Recibido,"23,50 €",
,,MENNYO Peine para Perros,08/11/2020,amazon,Recibido,"4,99 €","13,99 €"
,,LABISTS Raspberry Pi 4 Model B Kit de 4 GB con SD de 32GB Clase 10,11/11/2020,amazon,Recibido,"79,99 €","189,99 €"
,,Xiaomi Versión Global POCO X3 NFC,11/11/2020,aliexpress plaza,Recibido,"187,50 €","204,50 €"
,,UncleJerry-Zapatillas de invierno para hombre,11/11/2020,aliexpress,Recibido,"13,98 €",
,,"SPORTLINK-soporte de mesa de escritorio para Amazon Echo,",11/11/2020,aliexpress,Recibido,"3,96 €",
,,"Termómetro de ducha de agua en casa con pantalla LED, medidor de temperatura de agua y electricidad autogenerante,",11/11/2020,aliexpress,Recibido,"10,08 €",
,,"Pinza para cutícula de uñas profesional,",11/11/2020,aliexpress,Recibido,"1,03 €",
,,Xiaomi Versión Global POCO X3 NFC,23/11/2020,aliexpress plaza,Recibido,"187,50 €","204,50 €"
,,Ugreen-soporte ajustable para teléfono móvil,24/11/2020,aliexpress plaza,Recibido,"2,56 €",
,,Ugreen-soporte ajustable para teléfono móvil,24/11/2020,aliexpress plaza,Recibido,"2,56 €",
,,TN1050 2X Tóner para impresoraTONER Brother HL1210W,26/11/2020,amazon,Recibido,"13,98 €",
,,Galapara Escurridor de cubiertos,11/12/2020,amazon,Recibido,"72,39 €",
,,Alfombrilla de ratón grande,14/12/2020,aliexpress,Recibido,"6,55 €",
,,Lampara Niermann Standby Shell plástico de techo E27 (Reaco),14/12/2020,amazon,Recibido,"6,48 €","20,00 €"
,,Lampara Niermann Standby Shell plástico de techo E27  (Reaco),14/12/2020,amazon,Recibido,"5,82 €","20,00 €"
,,D-Link DGS-108 - Switch de red (8 puertos,14/12/2020,amazon,Recibido,"25,99 €",
,,Echo flex,18/12/2020,amazon,Recibido,"14,99 €","29,99 €"
,,"Scottex Megarollo Papel Higiénico, 48 Megarollos (equivale a 96 rollos estándar)",29/12/2020,amazon,Recibido,"20,69 €","26,79 €"
,,TOTAL,,,,"1.514,31€",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,," 
",,,,,
